Adaption,#,W,D,ID,t,ERR,RE,TAC,ODC,MDC,MV,ME,MO,,			
0,1,100,200,1.585,1687,0,0,3,5,3,7.2503,5.5757,8.1819,,RE: Target reentries			
0,2,100,300,2,1593,0,1,3,4,7,8.9343,6.4447,8.7586,,TAC: Total axis corssings			
0,257,90,200,1.6881,1921,0,0,4,7,5,11.628,8.2203,12.015,,			
0,258,100,300,2,2062,0,1,3,7,4,31.243,17.718,31.7,,			
0,259,90,300,2.1155,1234,0,0,2,4,6,50.099,37.429,61.709,,			
0,260,90,300,2.1155,953,0,0,2,1,4,7.0855,7.5487,10.165,,			
0,261,100,300,2,4156,0,4,8,10,13,35.558,23.593,39.469,,			
0,262,90,300,2.1155,1156,0,0,1,5,5,73.597,59.105,92.947,,			
0,263,90,200,1.6881,2047,0,0,5,7,8,116.6,70.777,119.58,,			
0,264,100,200,1.585,1641,0,2,3,7,5,7.3653,5.3935,7.2203,,			
0,265,90,300,2.1155,3281,0,3,5,28,29,59.336,57.743,72.173,,			
0,266,90,200,1.6881,1562,0,0,4,4,3,10.201,7.0817,10.172,,			
0,267,100,300,2,2687,0,1,4,11,7,18.958,15.334,22.839,,			
0,268,100,200,1.585,3344,0,0,3,6,7,67.18,53.687,75.345,,			
0,269,90,300,2.1155,3125,0,1,4,8,11,41.037,50.568,64.577,,			
0,270,100,200,1.585,1672,0,2,5,26,29,110.99,158.8,180.04,,			
0,271,90,300,2.1155,1500,0,0,3,4,8,62.858,40.551,72.5,,			
0,272,100,300,2,2719,0,1,4,5,7,15.005,11.696,15.245,,			
0,273,100,200,1.585,1656,0,0,2,5,5,36.268,20.902,36.841,,			
0,274,100,200,1.585,1625,0,0,3,5,5,44.641,36.154,45.554,,			
0,275,90,200,1.6881,3657,0,2,3,8,3,44.157,40.441,53.039,,			
0,276,100,200,1.585,1859,0,0,5,10,6,31.911,16.696,34.993,,			
0,277,100,200,1.585,1766,0,1,2,1,3,32.957,52.49,61.539,,			
0,278,100,300,2,1937,0,1,5,6,6,21.579,12.76,24.115,,			
0,279,100,300,2,2344,0,1,2,4,5,24.007,17.465,25.749,,			
